complaint_id,timestamp,customer_id,channel,region,branch,product,language,complaint_text,category_label
CMP-00060,2026-05-05T19:22,CUST-4130,Email,South,Pune Camp,UPI,Marathi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00061,2026-05-05T20:07,CUST-2524,Chat,South,Pune Camp,Internet Banking,English,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00062,2026-05-05T20:52,CUST-7971,Social Media,East,Bengaluru MG Road,Internet Banking,Hindi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00063,2026-05-05T21:37,CUST-9779,Branch,South,Lucknow Hazratganj,Internet Banking,Hindi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00064,2026-05-05T22:22,CUST-4180,Chat,South,Bengaluru MG Road,Current,Hindi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00065,2026-05-05T23:07,CUST-5786,Branch,West,Mumbai Main,Savings,Marathi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00066,2026-05-05T23:52,CUST-5136,Call Center,North,Mumbai Main,UPI,Hindi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00067,2026-05-06T00:37,CUST-5978,Email,South,Mumbai Main,Loan,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00068,2026-05-06T01:22,CUST-8253,Chat,Central,Pune Camp,Credit Card,Marathi,Account statement email not received despite request.,Account Services
CMP-00069,2026-05-06T02:07,CUST-2330,Branch,South,Lucknow Hazratganj,Loan,English,Address update request pending for 8 days.,Account Services
CMP-00070,2026-05-06T02:52,CUST-4792,Chat,East,Pune Camp,Savings,Marathi,ATM debited cash but did not dispense money at Pune Camp.,Cards/ATM
CMP-00071,2026-05-06T03:37,CUST-4683,Branch,East,Lucknow Hazratganj,Savings,English,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00072,2026-05-06T04:22,CUST-5982,Call Center,East,Jaipur MI Road,Loan,Hindi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00073,2026-05-06T05:07,CUST-1423,Email,South,Jaipur MI Road,Loan,English,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00074,2026-05-06T05:52,CUST-8245,Chat,South,Jaipur MI Road,UPI,Marathi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00075,2026-05-06T06:37,CUST-2713,Branch,East,Pune Camp,Internet Banking,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00076,2026-05-06T07:22,CUST-5135,Chat,North,Pune Camp,Loan,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00077,2026-05-06T08:07,CUST-9167,Call Center,North,Lucknow Hazratganj,Credit Card,Marathi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00078,2026-05-06T08:52,CUST-4920,Branch,East,Jaipur MI Road,Savings,Marathi,Credit card payment posted twice and statement is incorrect. This issue has been repeated multiple times and still unresolved.,Cards/ATM
CMP-00079,2026-05-06T09:37,CUST-3522,Call Center,East,Jaipur MI Road,Internet Banking,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00080,2026-05-06T10:22,CUST-4122,Social Media,Central,Lucknow Hazratganj,Savings,Hindi,Password reset link keeps failing with server error.,Internet Banking
CMP-00081,2026-05-06T11:07,CUST-9022,Branch,West,Jaipur MI Road,UPI,Hindi,Password reset link keeps failing with server error.,Internet Banking
CMP-00082,2026-05-06T11:52,CUST-4912,Social Media,West,Lucknow Hazratganj,UPI,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00083,2026-05-06T12:37,CUST-3492,Call Center,North,Lucknow Hazratganj,Loan,Marathi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00084,2026-05-06T13:22,CUST-3361,Call Center,South,Mumbai Main,UPI,Hindi,Loan EMI auto-debit failed despite sufficient balance. This issue has been repeated multiple times and still unresolved.,Loan/Credit
CMP-00085,2026-05-06T14:07,CUST-9742,Call Center,East,Pune Camp,Loan,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00086,2026-05-06T14:52,CUST-8110,Email,North,Pune Camp,Current,Marathi,Address update request pending for 11 days.,Account Services
CMP-00087,2026-05-06T15:37,CUST-8056,Branch,South,Jaipur MI Road,UPI,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00088,2026-05-06T16:22,CUST-4945,Call Center,Central,Lucknow Hazratganj,Current,Hindi,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00089,2026-05-06T17:07,CUST-9955,Branch,North,Pune Camp,Credit Card,Marathi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00090,2026-05-06T17:52,CUST-4263,Call Center,West,Mumbai Main,Current,Hindi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00091,2026-05-06T18:37,CUST-7484,Chat,North,Jaipur MI Road,Internet Banking,Marathi,Cheque book request not processed and no tracking available.,Account Services
CMP-00092,2026-05-06T19:22,CUST-6772,Branch,South,Jaipur MI Road,Credit Card,Marathi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00093,2026-05-06T20:07,CUST-8222,Email,Central,Bengaluru MG Road,Internet Banking,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00094,2026-05-06T20:52,CUST-9837,Chat,Central,Jaipur MI Road,Credit Card,English,Transaction pending for more than 28 hours in UPI app.,UPI/Payments
CMP-00095,2026-05-06T21:37,CUST-3306,Branch,West,Jaipur MI Road,Credit Card,English,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00096,2026-05-06T22:22,CUST-5295,Social Media,West,Bengaluru MG Road,Savings,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00097,2026-05-06T23:07,CUST-4626,Email,West,Bengaluru MG Road,Internet Banking,Hindi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00098,2026-05-06T23:52,CUST-4846,Social Media,South,Pune Camp,UPI,Hindi,My UPI payment of Rs 3471 failed but amount got debited.,UPI/Payments
CMP-00099,2026-05-07T00:37,CUST-3531,Call Center,North,Pune Camp,Loan,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00100,2026-05-07T01:22,CUST-4868,Chat,North,Bengaluru MG Road,Loan,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00101,2026-05-07T02:07,CUST-8450,Email,South,Jaipur MI Road,Savings,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00102,2026-05-07T02:52,CUST-4394,Social Media,South,Lucknow Hazratganj,Credit Card,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00103,2026-05-07T03:37,CUST-3858,Email,North,Lucknow Hazratganj,Savings,Hindi,Address update request pending for 6 days.,Account Services
CMP-00104,2026-05-07T04:22,CUST-7897,Social Media,North,Mumbai Main,UPI,Hindi,Card blocked without notice and merchant payment failed. This issue has been repeated multiple times and still unresolved.,Cards/ATM
CMP-00105,2026-05-07T05:07,CUST-1710,Social Media,East,Pune Camp,Internet Banking,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00106,2026-05-07T05:52,CUST-8267,Email,North,Bengaluru MG Road,Loan,English,Transaction pending for more than 29 hours in UPI app.,UPI/Payments
CMP-00107,2026-05-07T06:37,CUST-7240,Social Media,Central,Bengaluru MG Road,UPI,Marathi,My UPI payment of Rs 18523 failed but amount got debited.,UPI/Payments
CMP-00108,2026-05-07T07:22,CUST-4522,Call Center,West,Lucknow Hazratganj,UPI,Hindi,Cheque book request not processed and no tracking available.,Account Services
CMP-00109,2026-05-07T08:07,CUST-5176,Chat,South,Pune Camp,Savings,English,Password reset link keeps failing with server error.,Internet Banking
CMP-00110,2026-05-07T08:52,CUST-6400,Email,West,Bengaluru MG Road,Internet Banking,Hindi,My UPI payment of Rs 28803 failed but amount got debited.,UPI/Payments
CMP-00111,2026-05-07T09:37,CUST-9313,Branch,South,Pune Camp,Current,English,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00112,2026-05-07T10:22,CUST-8030,Social Media,Central,Jaipur MI Road,Internet Banking,Marathi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00113,2026-05-07T11:07,CUST-6062,Chat,East,Mumbai Main,Current,English,Address update request pending for 10 days.,Account Services
CMP-00114,2026-05-07T11:52,CUST-9691,Branch,West,Pune Camp,UPI,Hindi,Account statement email not received despite request.,Account Services
CMP-00115,2026-05-07T12:37,CUST-1861,Branch,South,Jaipur MI Road,Savings,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00116,2026-05-07T13:22,CUST-7785,Chat,South,Jaipur MI Road,Savings,Hindi,Transaction pending for more than 44 hours in UPI app.,UPI/Payments
CMP-00117,2026-05-07T14:07,CUST-6053,Email,South,Pune Camp,Loan,English,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00118,2026-05-07T14:52,CUST-2965,Email,West,Pune Camp,Current,English,My UPI payment of Rs 20253 failed but amount got debited.,UPI/Payments
CMP-00119,2026-05-07T15:37,CUST-6802,Email,West,Mumbai Main,UPI,English,Net banking page times out while downloading statement.,Internet Banking
CMP-00120,2026-05-07T16:22,CUST-7843,Chat,North,Pune Camp,Savings,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00121,2026-05-07T17:07,CUST-2734,Branch,West,Jaipur MI Road,UPI,Marathi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00122,2026-05-07T17:52,CUST-2251,Social Media,North,Jaipur MI Road,Loan,English,Transaction pending for more than 23 hours in UPI app.,UPI/Payments
CMP-00123,2026-05-07T18:37,CUST-5193,Branch,South,Jaipur MI Road,Current,Marathi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00124,2026-05-07T19:22,CUST-8354,Social Media,Central,Bengaluru MG Road,Internet Banking,Hindi,My UPI payment of Rs 41653 failed but amount got debited.,UPI/Payments
CMP-00125,2026-05-07T20:07,CUST-1920,Chat,Central,Mumbai Main,Credit Card,Hindi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00126,2026-05-07T20:52,CUST-2479,Social Media,Central,Jaipur MI Road,UPI,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00127,2026-05-07T21:37,CUST-6267,Social Media,West,Jaipur MI Road,Current,English,Account statement email not received despite request.,Account Services
CMP-00128,2026-05-07T22:22,CUST-1641,Branch,West,Pune Camp,Loan,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00129,2026-05-07T23:07,CUST-6543,Social Media,North,Bengaluru MG Road,Savings,Hindi,Address update request pending for 11 days.,Account Services
CMP-00130,2026-05-07T23:52,CUST-3463,Chat,North,Jaipur MI Road,Internet Banking,English,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00131,2026-05-08T00:37,CUST-2388,Chat,Central,Pune Camp,Internet Banking,Hindi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00132,2026-05-08T01:22,CUST-7937,Social Media,East,Mumbai Main,Credit Card,Hindi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00133,2026-05-08T02:07,CUST-3538,Email,East,Mumbai Main,Loan,Marathi,ATM debited cash but did not dispense money at Lucknow Hazratganj.,Cards/ATM
CMP-00134,2026-05-08T02:52,CUST-7172,Branch,South,Lucknow Hazratganj,Internet Banking,Marathi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00135,2026-05-08T03:37,CUST-4891,Call Center,Central,Bengaluru MG Road,Internet Banking,Hindi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00136,2026-05-08T04:22,CUST-8218,Call Center,East,Pune Camp,Loan,Marathi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00137,2026-05-08T05:07,CUST-8873,Chat,Central,Mumbai Main,Internet Banking,Marathi,Unable to login to internet banking since yesterday. This issue has been repeated multiple times and still unresolved.,Internet Banking
CMP-00138,2026-05-08T05:52,CUST-3414,Call Center,North,Lucknow Hazratganj,UPI,Hindi,Transaction pending for more than 12 hours in UPI app.,UPI/Payments
CMP-00139,2026-05-08T06:37,CUST-2337,Chat,South,Mumbai Main,Credit Card,English,Transaction pending for more than 27 hours in UPI app.,UPI/Payments
CMP-00140,2026-05-08T07:22,CUST-8740,Branch,West,Pune Camp,Loan,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00141,2026-05-08T08:07,CUST-9647,Call Center,North,Bengaluru MG Road,Current,Hindi,My UPI payment of Rs 17272 failed but amount got debited.,UPI/Payments
CMP-00142,2026-05-08T08:52,CUST-9189,Social Media,Central,Mumbai Main,Internet Banking,Marathi,My UPI payment of Rs 16126 failed but amount got debited. This issue has been repeated multiple times and still unresolved.,UPI/Payments
CMP-00143,2026-05-08T09:37,CUST-6780,Branch,Central,Pune Camp,Current,Marathi,Address update request pending for 11 days. This issue has been repeated multiple times and still unresolved.,Account Services
CMP-00144,2026-05-08T10:22,CUST-9316,Social Media,North,Pune Camp,UPI,English,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00145,2026-05-08T11:07,CUST-6649,Branch,North,Jaipur MI Road,Internet Banking,Hindi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00146,2026-05-08T11:52,CUST-8612,Call Center,South,Lucknow Hazratganj,Savings,Marathi,ATM debited cash but did not dispense money at Lucknow Hazratganj.,Cards/ATM
CMP-00147,2026-05-08T12:37,CUST-6170,Chat,Central,Pune Camp,Loan,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00148,2026-05-08T13:22,CUST-1783,Chat,East,Mumbai Main,Credit Card,Hindi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00149,2026-05-08T14:07,CUST-9151,Chat,Central,Bengaluru MG Road,Savings,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00150,2026-05-08T14:52,CUST-2680,Email,East,Bengaluru MG Road,Credit Card,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00151,2026-05-08T15:37,CUST-6776,Social Media,West,Bengaluru MG Road,Internet Banking,English,Account statement email not received despite request.,Account Services
CMP-00152,2026-05-08T16:22,CUST-3621,Email,South,Jaipur MI Road,Internet Banking,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00153,2026-05-08T17:07,CUST-1530,Social Media,South,Pune Camp,Credit Card,Hindi,My UPI payment of Rs 4906 failed but amount got debited.,UPI/Payments
CMP-00154,2026-05-08T17:52,CUST-5566,Branch,North,Mumbai Main,Internet Banking,English,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00155,2026-05-08T18:37,CUST-8311,Branch,Central,Bengaluru MG Road,Internet Banking,Hindi,Net banking page times out while downloading statement.,Internet Banking
CMP-00156,2026-05-08T19:22,CUST-8292,Email,East,Bengaluru MG Road,Internet Banking,English,ATM debited cash but did not dispense money at Lucknow Hazratganj.,Cards/ATM
CMP-00157,2026-05-08T20:07,CUST-9335,Branch,North,Lucknow Hazratganj,Current,English,Account statement email not received despite request.,Account Services
CMP-00158,2026-05-08T20:52,CUST-3126,Social Media,North,Mumbai Main,Credit Card,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00159,2026-05-08T21:37,CUST-2208,Branch,East,Mumbai Main,UPI,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00160,2026-05-08T22:22,CUST-3114,Call Center,Central,Mumbai Main,Savings,Marathi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00161,2026-05-08T23:07,CUST-9501,Chat,North,Bengaluru MG Road,Current,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00162,2026-05-08T23:52,CUST-9234,Branch,Central,Jaipur MI Road,Current,English,Cheque book request not processed and no tracking available.,Account Services
CMP-00163,2026-05-09T00:37,CUST-1464,Email,North,Jaipur MI Road,Credit Card,Marathi,Suspicious login alert came from unknown location. This issue has been repeated multiple times and still unresolved.,Fraud/Security
CMP-00164,2026-05-09T01:22,CUST-9938,Chat,East,Pune Camp,Current,Marathi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00165,2026-05-09T02:07,CUST-8933,Call Center,South,Bengaluru MG Road,Loan,English,Password reset link keeps failing with server error.,Internet Banking
CMP-00166,2026-05-09T02:52,CUST-7070,Social Media,Central,Mumbai Main,Credit Card,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00167,2026-05-09T03:37,CUST-5754,Call Center,Central,Pune Camp,Current,English,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00168,2026-05-09T04:22,CUST-9433,Call Center,West,Bengaluru MG Road,UPI,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00169,2026-05-09T05:07,CUST-1797,Email,East,Pune Camp,Loan,Marathi,Transaction pending for more than 31 hours in UPI app.,UPI/Payments
CMP-00170,2026-05-09T05:52,CUST-5333,Chat,West,Bengaluru MG Road,Savings,Hindi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00171,2026-05-09T06:37,CUST-7329,Social Media,West,Jaipur MI Road,Credit Card,Marathi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00172,2026-05-09T07:22,CUST-6555,Social Media,East,Lucknow Hazratganj,Current,Marathi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00173,2026-05-09T08:07,CUST-6456,Call Center,Central,Pune Camp,Current,Marathi,Cheque book request not processed and no tracking available.,Account Services
CMP-00174,2026-05-09T08:52,CUST-5902,Social Media,East,Jaipur MI Road,Loan,Marathi,Address update request pending for 12 days.,Account Services
CMP-00175,2026-05-09T09:37,CUST-2795,Call Center,Central,Bengaluru MG Road,Internet Banking,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00176,2026-05-09T10:22,CUST-1841,Social Media,West,Lucknow Hazratganj,Loan,Marathi,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00177,2026-05-09T11:07,CUST-2800,Branch,North,Pune Camp,Credit Card,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00178,2026-05-09T11:52,CUST-8726,Email,South,Jaipur MI Road,Current,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00179,2026-05-09T12:37,CUST-8531,Social Media,East,Jaipur MI Road,Credit Card,Marathi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00180,2026-05-09T13:22,CUST-5038,Chat,Central,Bengaluru MG Road,Current,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
